,id_annonce,price
0,35160615,"206523,9"
1,35830639,"718060,56"
2,36016657,"258813,58"
3,35759225,"240306,03"
4,35252229,"321676,62"
5,35784463,"92540,44"
6,35888589,"257919,92"
7,35839901,"176302,23"
8,35832257,"302423,62"
9,36048903,"211303,78"
10,36011167,"58379,83"
11,35775835,"322938,72"
12,35876281,"277194,47"
13,36017443,"341289,44"
14,35889895,"460340,84"
15,35856951,"125502,95"
16,35784241,"158853,03"
17,35903495,"140916,89"
18,35840075,"779182,75"
19,35747951,"396988,88"
20,35858979,"49302,11"
21,35738909,"404918,78"
22,35845325,"343093,44"
23,35772251,"288234,4"
24,36026445,"151732,36"
25,35874507,"139429,19"
26,36038985,"352209,44"
27,35903657,"192371,34"
28,35759525,"1431158,8"
29,35778763,"122417,055"
30,35795649,"273088,56"
31,35901957,"162658,12"
32,35875533,"145270,73"
33,35858841,"552561,8"
34,35870739,"1516744,1"
35,35825711,"784799,06"
36,36037445,"141952,66"
37,35835639,"185753,06"
38,35902247,"163352,06"
39,35791157,"430354,47"
40,35889457,"552980,9"
41,35999493,"154036,88"
42,35808205,"201051,61"
43,35971153,"787005,56"
44,35852789,"74503,49"
45,35875167,"114579,16"
46,36041397,"120465,02"
47,36035395,"809922,9"
48,35863631,"687665,7"
49,35852607,"241998,89"
50,35760605,"342027,75"
51,35812215,"60614,25"
52,35964293,"603625,3"
53,35787115,"231409,45"
54,35881399,"733682,5"
55,36027199,"120811,33"
56,36049949,"434612,12"
57,35814877,"138824,83"
58,35809961,"380897,06"
59,35964099,"203169,7"
60,34849441,"281707,62"
61,35821943,"667202,94"
62,36079937,"382770,6"
63,35867865,"145349,73"
64,36051475,"392186,1"
65,36048103,"214621,92"
66,36034103,"177873,89"
67,35812747,"603628,8"
68,35886241,"100166,516"
69,36040987,"279964,62"
70,35765365,"94770,836"
71,35831875,"279064,94"
72,35929777,"245938,81"
73,35761189,"2196398,0"
74,36040913,"383038,28"
75,35965123,"671771,25"
76,35862247,"28710,918"
77,35851681,"121233,63"
78,35827523,"355737,4"
79,35891391,"810613,7"
80,36063431,"63606,53"
81,35656587,"692171,4"
82,35797575,"183918,61"
83,35800105,"184864,33"
84,35896991,"255330,62"
85,35962101,"93315,17"
86,30821887,"489566,4"
87,35745687,"381218,72"
